state,county
1,1.0
1,3.0
1,5.0
1,7.0
1,9.0
1,11.0
1,13.0
1,15.0
1,17.0
1,19.0
1,21.0
1,23.0
1,25.0
1,27.0
1,29.0
1,31.0
1,33.0
1,35.0
1,37.0
1,39.0
1,41.0
1,43.0
1,45.0
1,47.0
1,49.0
1,51.0
1,53.0
1,55.0
1,57.0
1,59.0
1,61.0
1,63.0
1,65.0
1,67.0
1,69.0
1,71.0
1,73.0
1,75.0
1,77.0
1,79.0
1,81.0
1,83.0
1,85.0
1,87.0
1,89.0
1,91.0
1,93.0
1,95.0
1,97.0
1,99.0
1,101.0
1,103.0
1,105.0
1,107.0
1,109.0
1,111.0
1,113.0
1,115.0
1,117.0
1,119.0
1,121.0
1,123.0
1,125.0
1,127.0
1,129.0
1,131.0
1,133.0
4,1.0
4,3.0
4,5.0
4,7.0
4,9.0
4,11.0
4,12.0
4,13.0
4,15.0
4,17.0
4,19.0
4,21.0
4,23.0
4,25.0
4,27.0
5,1.0
5,3.0
5,5.0
5,7.0
5,9.0
5,11.0
5,13.0
5,15.0
5,17.0
5,19.0
5,21.0
5,23.0
5,25.0
5,27.0
5,29.0
5,31.0
5,33.0
5,35.0
5,37.0
5,39.0
5,41.0
5,43.0
5,45.0
5,47.0
5,49.0
5,51.0
5,53.0
5,55.0
5,57.0
5,59.0
5,61.0
5,63.0
5,65.0
5,67.0
5,69.0
5,71.0
5,73.0
5,75.0
5,77.0
5,79.0
5,81.0
5,83.0
5,85.0
5,87.0
5,89.0
5,91.0
5,93.0
5,95.0
5,97.0
5,99.0
5,101.0
5,103.0
5,105.0
5,107.0
5,109.0
5,111.0
5,113.0
5,115.0
5,117.0
5,119.0
5,121.0
5,123.0
5,125.0
5,127.0
5,129.0
5,131.0
5,133.0
5,135.0
5,137.0
5,139.0
5,141.0
5,143.0
5,145.0
5,147.0
5,149.0
6,1.0
6,3.0
6,5.0
6,7.0
6,9.0
6,11.0
6,13.0
6,15.0
6,17.0
6,19.0
6,21.0
6,23.0
6,25.0
6,27.0
6,29.0
6,31.0
6,33.0
6,35.0
6,37.0
6,39.0
6,41.0
6,43.0
6,45.0
6,47.0
6,49.0
6,51.0
6,53.0
6,55.0
6,57.0
6,59.0
6,61.0
6,63.0
6,65.0
6,67.0
6,69.0
6,71.0
6,73.0
6,75.0
6,77.0
6,79.0
6,81.0
6,83.0
6,85.0
6,87.0
6,89.0
6,91.0
6,93.0
6,95.0
6,97.0
6,99.0
6,101.0
